,Volt_abajo_Peltier,Volt_arriba_Peltier,err_Volt_abajo_Peltier,err_Volt_arriba_Peltier,tiempos,T1,T2,voltajes_posta
0,0.000922985,0.000900057,1.0184597000000001e-07,1.01800114e-07,1.0986659526824951,295.50560391634616,296.0745840225185,0.0001428
1,0.00092284,0.000900004,1.0184568000000001e-07,1.01800008e-07,2.27056884765625,295.5042883368124,296.07098661877745,0.000129
2,0.000922985,0.000900644,1.0184597000000001e-07,1.01801288e-07,3.4417173862457275,295.52017447747124,296.0745840225185,0.0001053
3,0.000922933,0.000900602,1.01845866e-07,1.01801204e-07,4.614469051361084,295.5191319563618,296.07329392044244,8.66e-05
4,0.000922892,0.00090012,1.0184578400000001e-07,1.0180024000000001e-07,5.782355070114136,295.50716771643465,296.07227672352263,9.2e-05
5,0.000922652,0.000900214,1.01845304e-07,1.01800428e-07,6.9647626876831055,295.5095010014185,296.06632238147904,7.69e-05
6,0.000922569,0.000900245,1.0184513800000001e-07,1.0180049000000002e-07,8.15088963508606,295.5102704879596,296.0642631641246,8e-05
7,0.000922881,0.000900664,1.0184576200000002e-07,1.0180132800000001e-07,9.322362184524536,295.5206709157557,296.07200381687403,7.77e-05
8,0.000922486,0.000900245,1.01844972e-07,1.0180049000000002e-07,10.49909782409668,295.5102704879596,296.0622039429686,8.55e-05
9,0.000922403,0.00090101,1.0184480600000001e-07,1.0180202e-07,11.676414966583252,295.52925926342584,296.0601447180109,9.43e-05
10,0.000922621,0.000900675,1.0184524200000001e-07,1.0180135e-07,12.853545665740967,295.5209439567188,296.0655532766468,9.2e-05
11,0.000922736,0.00090079,1.01845472e-07,1.0180158000000001e-07,14.029919385910034,295.52379847191395,296.06840640481016,0.000104
12,0.000922423,0.000900266,1.0184484600000002e-07,1.0180053200000001e-07,15.206310987472534,295.51079175273713,296.0606409171435,0.0001162
13,0.000922434,0.00089991,1.01844868e-07,1.0179982000000002e-07,16.380653381347656,295.5019550410292,296.0609138265724,0.0001216
14,0.000922298,0.000899742,1.0184459600000001e-07,1.0179948400000002e-07,17.553257942199707,295.49778488333516,296.0575396689435,0.0001313
15,0.000922226,0.00089969,1.0184445200000002e-07,1.0179938000000001e-07,18.721615314483643,295.49649411711044,296.05575334606675,0.0001455
16,0.000922163,0.000899732,1.0184432600000001e-07,1.0179946400000001e-07,19.901246547698975,295.4975366591761,296.05419031120323,0.0001669
17,0.000922049,0.000899816,1.0184409800000001e-07,1.0179963200000001e-07,21.08296775817871,295.49962174041246,296.0513619568359,0.0001799
18,0.000921799,0.000899334,1.01843598e-07,1.0179866800000001e-07,22.260981559753418,295.4876572932342,296.0451594002246,0.0001925
19,0.000921663,0.000899879,1.0184332600000001e-07,1.0179975800000001e-07,23.42986273765564,295.5011855488067,296.041785194947,0.0002102
20,0.000921653,0.00089948,1.01843306e-07,1.0179896000000001e-07,24.61104440689087,295.49128139230976,296.041537091215,0.0002249
21,0.000921643,0.000898946,1.0184328600000001e-07,1.01797892e-07,25.78183889389038,295.47802606917224,296.0412889874279,0.0002378
22,0.000921487,0.000899239,1.0184297400000002e-07,1.01798478e-07,26.962517976760864,295.4852991403147,296.0374185612059,0.0002403
23,0.000921372,0.000898956,1.01842744e-07,1.0179791200000001e-07,28.14278483390808,295.47827429763,296.03456535379274,0.0002596
24,0.000920862,0.00089859,1.0184172400000001e-07,1.0179718000000001e-07,29.329545974731445,295.4691891004509,296.0219119112693,0.0002719
25,0.00092081,0.000898852,1.0184162e-07,1.0179770400000001e-07,30.516404151916504,295.4756927189958,296.0206217482863,0.0002893
26,0.000920893,0.000898652,1.0184178600000001e-07,1.01797304e-07,31.70544171333313,295.47072812807664,296.0226810461843,0.0003165
27,0.000920727,0.000898453,1.0184145400000001e-07,1.0179690600000001e-07,32.8926465511322,295.4657883384055,296.0185624465892,0.0003254
28,0.00092056,0.000898852,1.0184112e-07,1.0179770400000001e-07,34.08549094200134,295.4756927189958,296.01441902081905,0.0003347
29,0.000920404,0.000898537,1.0184080800000001e-07,1.0179707400000001e-07,35.282071590423584,295.46787347839495,296.01054850141617,0.000354
30,0.000920133,0.000898642,1.01840266e-07,1.0179728400000002e-07,36.47951316833496,295.4704798979565,296.00382468260165,0.0003635
31,0.000920456,0.000898233,1.0184091200000002e-07,1.01796466e-07,37.68393015861511,295.4603272391994,296.01183867604163,0.0003713
32,0.000920133,0.000898317,1.01840266e-07,1.01796634e-07,38.89020895957947,295.4624123892916,296.00382468260165,0.0003802
33,0.000919852,0.000898652,1.01839704e-07,1.01797304e-07,40.10176134109497,295.47072812807664,295.9968527096309,0.0003898
34,0.000920071,0.000898443,1.01840142e-07,1.01796886e-07,41.315733671188354,295.46554010719746,296.0022863862586,0.0003831
35,0.000919759,0.000898831,1.0183951800000002e-07,1.01797662e-07,42.52902579307556,295.475171437977,295.994545249914,0.000383
36,0.000919852,0.000899187,1.01839704e-07,1.0179837400000002e-07,43.732526540756226,295.4840083597843,295.9968527096309,0.000358
37,0.000919509,0.000899543,1.0183901800000002e-07,1.01799086e-07,44.955222845077515,295.49284521228276,295.98834237757694,0.0003372
38,0.000919842,0.000899229,1.0183968400000002e-07,1.0179845800000002e-07,46.1653470993042,295.4850509134044,295.99660459591166,0.0003223
39,0.000919832,0.00089925,1.0183966400000002e-07,1.0179850000000001e-07,47.41603899002075,295.48557218985275,295.9963564821371,0.0003148
40,0.000919551,0.000899627,1.0183910200000002e-07,1.01799254e-07,48.63124704360962,295.494930302203,295.9893844625374,0.0003156
