Frecuencia,X,Y,R,Theta
2.575510204081632401e+04,1.467480000000000119e-04,1.403099999999999898e-04,2.030140000000000048e-04,4.371000000000000085e+01
2.676530612244897929e+04,1.440950000000000087e-04,1.490420000000000004e-04,2.073359999999999949e-04,4.596600000000000108e+01
2.777551020408163095e+04,1.414730000000000057e-04,1.577150000000000036e-04,2.118660000000000074e-04,4.810199999999999676e+01
2.878571428571428260e+04,1.389390000000000059e-04,1.664170000000000026e-04,2.167829999999999876e-04,5.014200000000000301e+01
2.979591836734693788e+04,1.364960000000000023e-04,1.752679999999999896e-04,2.221470000000000129e-04,5.208599999999999852e+01
3.080612244897958954e+04,1.339919999999999870e-04,1.840599999999999962e-04,2.276609999999999875e-04,5.395199999999999818e+01
3.181632653061224482e+04,1.316970000000000098e-04,1.927329999999999994e-04,2.334129999999999961e-04,5.564999999999999858e+01
3.282653061224489647e+04,1.294319999999999900e-04,2.017029999999999897e-04,2.396409999999999914e-04,5.730599999999999739e+01
3.383673469387755176e+04,1.272570000000000049e-04,2.107029999999999916e-04,2.461690000000000210e-04,5.886599999999999966e+01
3.484693877551019978e+04,1.251710000000000116e-04,2.197930000000000012e-04,2.529639999999999992e-04,6.033599999999999852e+01
3.585714285714285506e+04,1.230550000000000068e-04,2.288229999999999876e-04,2.598190000000000005e-04,6.172200000000000131e+01
3.686734693877551035e+04,1.209979999999999959e-04,2.379129999999999971e-04,2.669109999999999929e-04,6.303600000000000136e+01
3.787755102040815837e+04,1.192400000000000035e-04,2.469440000000000263e-04,2.742430000000000236e-04,6.421800000000000352e+01
3.888775510204081365e+04,1.175710000000000031e-04,2.561829999999999967e-04,2.818720000000000145e-04,6.534000000000000341e+01
3.989795918367346894e+04,1.158119999999999950e-04,2.653019999999999749e-04,2.894719999999999824e-04,6.641400000000000148e+01
4.090816326530612423e+04,1.142330000000000022e-04,2.744220000000000231e-04,2.972499999999999882e-04,6.739799999999999613e+01
4.191836734693877224e+04,1.126529999999999936e-04,2.835709999999999858e-04,3.051479999999999861e-04,6.833400000000000318e+01
4.292857142857142753e+04,1.111930000000000042e-04,2.928389999999999791e-04,3.132540000000000064e-04,6.920399999999999352e+01
4.393877551020408282e+04,1.097619999999999970e-04,3.020480000000000192e-04,3.213600000000000267e-04,7.002599999999999625e+01
4.494897959183673083e+04,1.083920000000000017e-04,3.112869999999999895e-04,3.296160000000000236e-04,7.079999999999999716e+01
4.595918367346938612e+04,1.070210000000000041e-04,3.204959999999999753e-04,3.379009999999999891e-04,7.153199999999999648e+01
4.696938775510204141e+04,1.058580000000000019e-04,3.297050000000000154e-04,3.462750000000000008e-04,7.219799999999999329e+01
4.797959183673468942e+04,1.045769999999999984e-04,3.388840000000000168e-04,3.546490000000000124e-04,7.285200000000000387e+01
4.898979591836734471e+04,1.036229999999999937e-04,3.480329999999999795e-04,3.631430000000000161e-04,7.342199999999999704e+01
5.000000000000000000e+04,1.026400000000000066e-04,3.571830000000000122e-04,3.716370000000000198e-04,7.396200000000000330e+01
