Frecuencia,X,Y,R,Theta
2.676530612244897929e+04,8.887099999999999666e-05,3.023459999999999950e-04,3.150720000000000083e-04,7.353600000000000136e+01
2.777551020408163095e+04,8.794709999999999691e-05,3.160260000000000131e-04,3.280959999999999975e-04,7.444199999999999307e+01
2.878571428571428260e+04,9.200020000000000051e-05,3.252940000000000063e-04,3.380200000000000197e-04,7.421399999999999864e+01
2.979591836734693788e+04,9.030149999999999592e-05,3.389730000000000087e-04,3.508049999999999862e-04,7.508400000000000318e+01
3.080612244897958954e+04,8.913920000000000198e-05,3.521460000000000128e-04,3.632619999999999925e-04,7.579800000000000182e+01
3.181632653061224482e+04,8.839419999999999472e-05,3.651700000000000020e-04,3.757200000000000145e-04,7.639199999999999591e+01
3.282653061224489647e+04,8.699339999999999959e-05,3.786700000000000049e-04,3.885350000000000197e-04,7.705800000000000693e+01
3.383673469387755176e+04,8.553310000000000275e-05,3.922899999999999998e-04,4.014989999999999857e-04,7.769400000000000261e+01
3.484693877551019978e+04,8.469870000000000274e-05,4.054330000000000195e-04,4.141649999999999759e-04,7.819799999999999329e+01
3.585714285714285506e+04,8.356620000000000638e-05,4.189630000000000068e-04,4.271880000000000035e-04,7.871999999999999886e+01
3.686734693877551035e+04,8.240389999999999889e-05,4.324630000000000097e-04,4.402720000000000158e-04,7.920600000000000307e+01
3.787755102040815837e+04,8.130120000000000012e-05,4.461719999999999966e-04,4.535039999999999731e-04,7.966800000000000637e+01
3.888775510204081365e+04,8.046670000000000667e-05,4.595830000000000076e-04,4.666170000000000083e-04,8.006999999999999318e+01
3.989795918367346894e+04,7.960249999999999553e-05,4.731140000000000107e-04,4.797299999999999893e-04,8.044799999999999329e+01
4.090816326530612423e+04,7.876800000000000208e-05,4.864350000000000141e-04,4.927850000000000329e-04,8.079600000000000648e+01
4.191836734693877224e+04,7.808260000000000352e-05,4.998480000000000024e-04,5.059279999999999984e-04,8.112000000000000455e+01
4.292857142857142753e+04,7.730770000000000523e-05,5.132589999999999592e-04,5.191010000000000025e-04,8.142600000000000193e+01
4.393877551020408282e+04,7.647319999999999823e-05,5.268490000000000239e-04,5.323920000000000215e-04,8.173799999999999955e+01
4.494897959183673083e+04,7.599639999999999629e-05,5.402010000000000275e-04,5.455049999999999483e-04,8.198999999999999488e+01
4.595918367346938612e+04,7.516190000000000284e-05,5.536119999999999843e-04,5.586779999999999524e-04,8.226600000000000534e+01
4.696938775510204141e+04,7.474469999999999606e-05,5.672020000000000490e-04,5.720890000000000176e-04,8.248799999999999955e+01
4.797959183673468942e+04,7.391020000000000261e-05,5.805530000000000369e-04,5.851429999999999913e-04,8.273999999999999488e+01
4.898979591836734471e+04,7.349299999999999583e-05,5.940239999999999626e-04,5.984939999999999791e-04,8.295000000000000284e+01
5.000000000000000000e+04,7.283730000000000141e-05,6.074939999999999811e-04,6.118449999999999670e-04,8.315999999999999659e+01
