,Volt_abajo_Peltier,Volt_arriba_Peltier,err_Volt_abajo_Peltier,err_Volt_arriba_Peltier,tiempos,T1,T2,voltajes_posta
0,0.000868257,0.006859984,1.0173651400000002e-07,1.13719968e-07,1.112990379333496,441.0076600506593,294.7159812804526,0.0004777
1,0.000868008,0.007666239,1.0173601600000001e-07,1.1533247800000002e-07,2.277980327606201,461.17186273428683,294.7097962232233,0.0004786
2,0.000868351,0.009263777,1.01736702e-07,1.1852755400000001e-07,3.443584442138672,501.0213950014256,294.7183161929583,0.0004846
3,0.00086833,0.009176064,1.0173666e-07,1.18352128e-07,4.606558799743652,498.84442478485283,294.71779456398224,0.0004803
4,0.000868237,0.007795367,1.01736474e-07,1.1559073400000002e-07,5.776319980621338,464.40285118970115,294.7154844899427,0.0004866
5,0.00086859,0.010026375,1.0173718000000001e-07,1.2005275e-07,6.914304256439209,519.871467303827,294.7242528107309,0.0004819
6,0.000868559,0.008304279,1.01737118e-07,1.1660855800000001e-07,8.08284068107605,477.1271219774923,294.72348279091847,0.0004852
7,0.000868643,0.009352328,1.01737286e-07,1.1870465600000001e-07,9.253345727920532,503.2174136290663,294.7255692950156,0.0004872
8,0.000868767,0.010043236,1.01737534e-07,1.20086472e-07,10.40230417251587,520.2865924337697,294.7286493655336,0.0004913
9,0.000868674,0.009119674,1.0173734800000001e-07,1.1823934800000001e-07,11.570430278778076,497.44398081045273,294.726339313423,0.0004964
10,0.000869059,0.009418495,1.01738118e-07,1.1883699000000001e-07,12.722070932388306,504.85714344048614,294.7359024020413,0.0004936
11,0.000868643,0.008321161,1.01737286e-07,1.1664232200000002e-07,13.892904996871948,477.5488056202562,294.7255692950156,0.0005084
12,0.000869142,0.008798952,1.01738284e-07,1.1759790400000001e-07,15.060724973678589,489.46648063492574,294.73796404443027,0.000493
13,0.000868757,0.007808036,1.0173751400000002e-07,1.15616072e-07,16.234562397003174,464.7198218130924,294.72840097305755,0.0004993
14,0.000869205,0.007840082,1.0173841000000001e-07,1.15680164e-07,17.402116537094116,465.5215636900454,294.7395289030386,0.0004788
15,0.000867508,0.007393607,1.0173501600000001e-07,1.1478721400000002e-07,18.571571350097656,454.349799231698,294.69737632858175,0.16227
16,0.00086551,0.00775084,1.0173102000000002e-07,1.1550168e-07,19.748310565948486,463.28876708418994,294.64774508402263,0.1723527
17,0.000864032,0.007076583,1.0172806400000002e-07,1.1415316600000001e-07,20.91200828552246,446.4203190630678,294.611029495882,0.1773782
18,0.000863469,0.008107653,1.0172693800000001e-07,1.1621530600000001e-07,22.085078477859497,472.2134387526813,294.5970434786852,0.1805258
19,0.000862585,0.008250142,1.0172517000000001e-07,1.1650028400000002e-07,23.25717544555664,475.7746476672083,294.57508285164926,0.1826846
20,0.000861991,0.007978442,1.01723982e-07,1.1595688400000001e-07,24.433590173721313,468.9825139880727,294.5603262665097,0.1842339
21,0.000862085,0.008902509,1.0172417000000001e-07,1.17805018e-07,25.62072491645813,492.04451725449036,294.562661496329,0.1853997
22,0.000862241,0.008656714,1.01724482e-07,1.17313428e-07,26.80339479446411,485.92234078209594,294.56653697362447,0.186333
23,0.000862137,0.009152223,1.0172427400000002e-07,1.1830444600000001e-07,27.985445737838745,498.25241778653094,294.5639533235488,0.1870649
24,0.00086196,0.007292197,1.0172392e-07,1.1458439400000002e-07,29.18632459640503,451.8126600876803,294.55955613648456,0.187701
25,0.000861846,0.006899229,1.0172369200000001e-07,1.1379845800000002e-07,30.382477283477783,441.9879601804938,294.5567240409785,0.1882384
26,0.000861929,0.00876853,1.01723858e-07,1.1753706000000001e-07,31.61136794090271,488.7087541896846,294.5587860059424,0.1887213
27,0.000861939,0.008545622,1.01723878e-07,1.1709124400000001e-07,32.80257964134216,483.15192584607024,294.55903443520606,0.1891493
28,0.000863563,0.008479015,1.01727126e-07,1.1695803000000001e-07,34.01851272583008,481.4899727300804,294.599378633743,0.0275109
29,0.000865957,0.007777782,1.01731914e-07,1.1555556400000001e-07,35.22157096862793,463.96287527355355,294.65884895772075,0.0176324
30,0.000864958,0.007848518,1.0172991600000001e-07,1.1569703600000002e-07,36.45086479187012,465.73261197408164,294.6340327692829,0.337195
31,0.00086067,0.00671519,1.0172134e-07,1.1343038e-07,37.67338418960571,437.3926992728759,294.52750833204885,0.355048
32,0.000858671,0.005778347,1.0171734200000001e-07,1.11556694e-07,38.8973593711853,414.1060099278333,294.47784488982103,0.363364
33,0.000857474,0.007066764,1.01714948e-07,1.1413352800000002e-07,40.139286518096924,446.17484131049196,294.4481054230248,0.368445
34,0.000856652,0.007512726,1.0171330400000001e-07,1.15025452e-07,41.38958740234375,457.33042035540825,294.427682386377,0.371848
35,0.00085609,0.007642084,1.0171218000000001e-07,1.1528416800000002e-07,42.62957453727722,460.56742626229124,294.41371898234183,0.374289
36,0.000855705,0.007097531,1.0171141000000001e-07,1.1419506200000001e-07,43.88474631309509,446.944054412523,294.40415320741863,0.376106
37,0.000855424,0.007206203,1.0171084800000001e-07,1.1441240600000001e-07,45.13870596885681,449.6616213066429,294.39717138385214,0.377561
38,0.000855455,0.007375886,1.0171091000000001e-07,1.14751772e-07,46.39277744293213,453.90641381195843,294.3979416226936,0.378739
39,0.000855549,0.007196719,1.01711098e-07,1.1439343800000001e-07,47.65421772003174,449.424418903911,294.40027718248183,0.379765
40,0.000855694,0.005340119,1.01711388e-07,1.10680238e-07,48.88238048553467,403.2967039187226,294.40387989839564,0.380625
